data;
param: I: demand:=
1 2 3 4 5 5 6 7 8 9 10 11 12 13 14 14 15 16 17 18 19 20 21 22 23 23 24 25 26 27 28 29 30 31 32 32 33 34 35 36 37 38 39 40 41 41 42 43 44 45 46 47 48 49 50 50 51 52 53 54 55 56 57 58 59 59 60 61 62 63 64 65 66 67 68 68 69 70 71 72 73 74 75 76 77 77 78 79 80 81 82 83 84 85 86 86 87 88 89 90 
C3
1 2 3 4 4 5 6 7 8 9 10 10 11 12 13 14 15 16 16 17 18 19 20 21 22 22 23 24 25 26 27 28 28 29 30 31 32 33 34 34 35 36 37 38 39 40 40 41 42 43 44 45 46 47 47 48 49 50 51 52 53 53 54 55 56 57 58 59 59 60 61 62 63 64 65 65 66 67 68 69 70 71 71 72 73 74 75 76 77 77 78 79 80 81 82 83 83 84 85 86 
;
param pevChargePrice
:
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
:=
C1
1 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 18 20 23 27 31 35 39 42 44 46 47 49 51 53 55 57 59 62 65 69 72 75 78 80 82 84 86 88 90 92 95 98 101 106 110 114 118 121 124 126 128 131 133 135 138 140 142 144 146 149 151 153 155 158 160 162 164 167 169 171 181 198 222 254 294 326 352 371 383 387 392 396 401 405 410 414 419 423 428 432 437 441 446 450 
C2
52 54 56 59 62 65 68 72 75 78 81 83 86 89 91 94 97 100 104 108 112 115 119 122 125 128 131 134 137 140 143 146 150 154 159 164 169 173 177 180 184 187 190 193 196 200 204 208 213 218 224 229 234 239 243 246 250 253 257 260 264 267 271 274 278 281 285 288 292 295 299 302 306 309 313 316 321 328 337 347 359 369 378 385 390 394 398 402 406 410 414 418 422 426 430 434 438 442 446 450 
C3
1 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 18 20 23 27 31 35 39 42 44 46 47 49 51 53 55 57 59 62 65 69 72 75 78 80 82 84 86 88 90 92 95 98 101 106 110 114 118 121 124 126 128 131 133 135 138 140 142 144 146 149 151 153 155 158 160 162 164 167 169 171 182 203 232 270 318 358 389 411 425 430 435 440 445 450 455 460 465 470 475 480 485 490 495 500 
;
